max_bond,depth,chi_max,layer_ms
16,5,16,6.6689418
16,10,16,9.9523084
16,15,16,8.2511082
16,20,16,8.301558400000001
16,25,16,8.2997
16,30,16,8.329300000000002
16,35,16,8.0391584
16,40,16,8.025549999999999
16,45,16,8.0628418
16,50,16,8.0056
16,55,16,8.0238584
16,60,16,7.992425000000001
16,65,16,8.0443084
16,70,16,8.066941800000002
16,75,16,8.107525
16,80,16,8.153166800000001
16,85,16,8.0917584
16,90,16,8.0442418
16,95,16,8.054741799999999
16,100,16,8.0849582
32,5,32,5.6591584
32,10,32,48.8778084
32,15,32,49.354825000000005
32,20,32,49.4196334
32,25,32,49.38541659999999
32,30,32,49.4359584
32,35,32,48.9587166
32,40,32,47.700041799999994
32,45,32,47.7804084
32,50,32,47.7347832
32,55,32,47.3911334
32,60,32,47.6951666
32,65,32,47.7408334
32,70,32,47.7558
32,75,32,47.4338916
32,80,32,47.723775
32,85,32,47.7686334
32,90,32,47.880641600000004
32,95,32,47.819983400000005
32,100,32,47.923591599999995
