depth,chi,fidelity,one_minus_fidelity
2,4,1,0
2,8,1,0
2,16,1,0
2,32,1,0
4,4,0.09048753871584939,0.9095124612841506
4,8,0.5450407695893656,0.45495923041063435
4,16,1,0
4,32,1,0
6,4,0.002209321570952219,0.9977906784290478
6,8,0.03750273966636583,0.9624972603336341
6,16,0.35563610856041683,0.6443638914395832
6,32,0.854501158156446,0.145498841843554
8,4,0.00007745639118289467,0.9999225436088172
8,8,0.003203587121856834,0.9967964128781431
8,16,0.06551749367118312,0.9344825063288169
8,32,0.406558394019261,0.593441605980739
10,4,0.00000008148866536392348,0.9999999185113346
10,8,0.00040791758599698855,0.999592082414003
10,16,0.0098235533002784,0.9901764466997216
10,32,0.1305060246304294,0.8694939753695706
12,4,0.0000005105467911274823,0.9999994894532088
12,8,0.000028905804460076863,0.99997109419554
12,16,0.002038115733265402,0.9979618842667346
12,32,0.043942543017528944,0.956057456982471
14,4,0.00000014914553799898319,0.999999850854462
14,8,0.000001960037284882349,0.9999980399627151
14,16,0.00014827204851816536,0.9998517279514818
14,32,0.0077935745665369165,0.992206425433463
16,4,0.00000015764139492425768,0.9999998423586051
16,8,0.0000003785809699290686,0.9999996214190301
16,16,0.000008918180513019573,0.9999910818194869
16,32,0.0014576715083772101,0.9985423284916228
18,4,0.0000000027169251695337417,0.9999999972830749
18,8,0.000000137762019917377,0.9999998622379801
18,16,0.0000004232746159199718,0.9999995767253841
18,32,0.00019642967012293381,0.9998035703298771
20,4,0.0000000865438418896165,0.9999999134561581
20,8,0.000000059059591878089926,0.9999999409404081
20,16,0.0000005329221100750265,0.9999994670778899
20,32,0.00002255308028193015,0.999977446919718
22,4,0.00000001186191294611825,0.9999999881380871
22,8,0.000000039502251984233944,0.999999960497748
22,16,0.00000007993013855928746,0.9999999200698615
22,32,0.0000015785728115552347,0.9999984214271884
24,4,0.00000010932714447565366,0.9999998906728556
24,8,0.000000003779830301136525,0.9999999962201697
24,16,0.00000013447102703557817,0.999999865528973
24,32,0.0000000973062181370299,0.9999999026937819
26,4,0.0000002115490313455292,0.9999997884509687
26,8,0.000000004540648467108244,0.9999999954593516
26,16,0.00000007876188093615057,0.9999999212381191
26,32,0.00000006620053942446811,0.9999999337994606
28,4,0.0000000497966588203842,0.9999999502033412
28,8,0.00000019869428275568937,0.9999998013057172
28,16,0.000000048217947879959965,0.9999999517820521
28,32,0.0000000343583623919323,0.9999999656416376
30,4,0.000000025283053234118824,0.9999999747169468
30,8,0.000000002475875230099986,0.9999999975241247
30,16,0.00000003849568975935514,0.9999999615043103
30,32,0.00000010756100538050471,0.9999998924389946
