theta,energy
0,1
0.10471975511965977,1
0.20943951023931953,1
0.3141592653589793,0.96
0.41887902047863906,1
0.5235987755982988,0.88
0.6283185307179586,0.84
0.7330382858376184,0.8
0.8377580409572781,0.72
0.9424777960769379,0.68
1.0471975511965976,0.56
1.1519173063162573,0.48
1.2566370614359172,0.16
1.3613568165555772,0.28
1.4660765716752369,0.2
1.5707963267948963,0.04
1.6755160819145563,-0.12
1.7802358370342162,-0.12
1.8849555921538759,-0.2
1.9896753472735356,-0.52
2.0943951023931953,-0.52
2.199114857512855,-0.68
2.3038346126325147,-0.36
2.4085543677521746,-0.72
2.5132741228718345,-0.72
2.6179938779914944,-0.96
2.7227136331111543,-1
2.827433388230814,-0.96
2.9321531433504737,-0.92
3.0368728984701336,-1
3.1415926535897927,-1
3.2463124087094526,-1
3.3510321638291125,-0.96
3.4557519189487724,-1
3.5604716740684323,-0.84
3.665191429188092,-0.92
3.7699111843077517,-0.84
3.8746309394274117,-0.76
3.979350694547071,-0.76
4.084070449666731,-0.56
4.1887902047863905,-0.48
4.29350995990605,-0.32
4.39822971502571,-0.2
4.50294947014537,-0.32
4.607669225265029,-0.2
4.71238898038469,0.04
4.817108735504349,0
4.9218284906240095,0
5.026548245743669,0.32
5.1312680008633285,0.52
5.235987755982989,0.32
5.340707511102648,0.72
5.445427266222309,0.6
5.550147021341968,0.56
5.654866776461628,0.92
5.759586531581288,0.8
5.8643062867009474,0.8
5.969026041820607,0.92
6.073745796940267,0.96
6.178465552059927,1
6.283185307179585,1
